S.No.,Song,Artist,Writer,Album,Year,Lyrics
50,"""Magic""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha",Take Me Home,2012,"[Verse 1: Harry, All]
B-B-B-Baby, c'mon over
I don't care if people find out
(Da-da, da-da-da, da-da, da, da)
They say that we're no good together
And it's never gonna work out
(Da-da, da-da-da, da-da, da, da)

[Pre-Chorus: Liam, All]
But baby you got me moving too fast
'Cause I know you wanna be bad
And girl when you're looking like that
(Da-da, da-da-da) I can't hold back

[Chorus: All]
'Cause you, you've got this spell on me
I don't know what to believe
Kiss you once, now I can't leave
'Cause everything you do is magic
But everything you do is ma-a-agic

[Verse 2: Zayn, All]
So le-le-let them take the pictures
Spread it all around the world now
(Da-da, da-da-da, da-da, da, da)
I wanna put it on my record
I want everyone to know now
(Da-da, da-da-da, da-da, da, da)

[Pre-Chorus: Liam, All]
But baby you got me moving too fast
'Cause I know you wanna be bad
And girl when you're looking like that
(Da-da, da-da-da) I can't hold back

[Chorus: All]
'Cause you, you've got this spell on me
I don't know what to believe
Kiss you once, now I can't leave
'Cause everything you do is magic
But everything you do is ma-a-agic

[Post-Chorus: All, Zayn]
Oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh, oh-oh (Oh)
Everything you do is magic

[Bridge: Niall]
They say that we're no good together
And it's never gonna work out
I wanna put it on my record
I want everyone to know now

[Builtup: Louis, All, Liam]
Everything you do is magic (Oh, oh-oh-oh, oh-oh)
Everything you do is magic (Oh, oh-oh-oh, oh-oh)
Everything you do is magic (Oh, oh-oh-oh, oh-oh)
Everything you do is ma-a-agic

[Chorus: All, Zayn]
'Cause you, you've got this spell on me (Yeah, spell on me)
I don't know what to believe (Believe)
Kiss you once, now I can't leave (I can't leave, yeah)
'Cause everything you do is magic
But everything you do is ma-a-agic (Magic)

[Outro: All, Zayn]
Oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh, oh-oh (C'mon)
Oh, oh-oh-oh, oh-oh
Kiss you once now I can't leave
'Cause everything you do is magic
But everything you do is ma-a-agic
(Da-da, da-da-da, da-da, da, da)"
51,"""Midnight Memories""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Liam Payne, Louis Tomlinson",Midnight Memories,2013,"[Intro: Harry]
One, two, three, four

[Verse 1: Harry]
Straight off the plane to a new hotel
Just touched down, you could never tell
Ow, big house party with a crowded kitchen
People talk shh, but we don't listen

[Pre-Chorus: Louis]
Tell me that I'm wrong, but I do what I please
Way too many people in the Addison Lee
Now I'm at the age when I know what I need, oh, woah

[Chorus: All]
Midnight memories, oh-oh, oh, oh-oh
Baby, you and me stumblin' in the street
Singing, singing, singing, singing
Midnight memories, oh-oh, oh, oh-oh
Anywhere we go, never say no
Just do it, do it, do it, do it

[Verse 2: Liam & Niall]
Five foot somethin' with the skinny jeans
Don't look back, baby, follow me
I don't know where I'm going, but I'm findin' my way
Same old shh, but a different day

[Pre-Chorus: Louis]
Tell me that I'm wrong, but I do what I please
Way too many people in the Addison Lee
Now I'm at the age when I know what I need, oh, woah

[Chorus: All]
Midnight memories, oh-oh, oh, oh-oh
Baby, you and me stumblin' in the street
Singing, singing, singing, singing
Midnight memories, oh-oh, oh, oh-oh
Anywhere we go, never say no
Just do it, do it, do it

[Bridge: Niall & Harry]
You and me and all our friends
I don't care how much we spend
Baby, this is what the night is for
I know nothing's making sense
For tonight, let's just pretend
I don't wanna stop, so give me more, 'ore, ow!

[Chorus: All & Zayn]
Midnight memories, oh-oh, oh, oh-oh
Baby, you and me (Me) stumblin' in the street (Street)
Singing, singing, singing, singing
Midnight memories, oh-oh, oh, oh-oh
Anywhere we go (Go), never say no (No)
Just do it, do it, do it, do it (Do it, do it, do it)"
52,"""Moments""",One Direction,"Ed Sheeran, Si Hulbert",Up All Night,2011,"[Verse 1: Liam]
Shut the door, turn the light off
I wanna be with you, I wanna feel your love
I wanna lay beside you
I cannot hide this, even though I try
Heart beats harder, time escapes me
Trembling hands touch skin
It makes this harder
And the tears stream down my face

[Pre-Chorus: Harry]
If we could only have this life for one more day
If we could only turn back time

[Chorus: All]
You know I'll be your life, your voice
Your reason to be my love, my heart
Is breathing for this moment in time
I'll find the words to say before you leave me today

[Verse 2: Niall & Harry, Niall, Harry, Louis]
Close the door, throw the key
Don't wanna be reminded, don't wanna be seen
Don't wanna be without you
My judgement's clouded like tonight's sky (Ah-ah-ah)
Hands are silent, voice is numb
Try to scream out my lungs
It makes this harder
And the tears stream down my face

[Pre-Chorus: Harry]
If we could only have this life for one more day
If we could only turn back time

[Chorus: All]
You know I'll be your life, your voice
Your reason to be my love, my heart
Is breathing for this moment in time
I'll find the words to say before you leave me today

[Bridge: Zayn]
Flashing lights in my mind, going back to the time
Playing games in the street, kicking balls with my feet
There's a numb in my toes, standing close to the edge
There's a pile of my clothes at the end of your bed
As I feel myself fall, make a joke of it all

[Chorus: All, Zayn, Harry]
You know I'll be your life, your voice
Your reason to be my love, my heart
Is breathing for this moment in time (Time)
I'll find the words to say before you leave me today
You know I'll be your life, your voice
Your reason to be (Your reason to be) my love, my heart
Is breathing for this (Is breathing for this) moment in time
I'll find the words to say (To say) before you leave me today, yeah"
53,"""More than This""",One Direction,Jamie Scott,Up All Night,2011,"[Intro: Liam]
Ooh

[Verse 1: Liam]
I'm broken, do you hear me?
I'm blinded, 'cause you are everything I see
I'm dancing alone, I'm praying
That your heart will just turn around

[Pre-Chorus: Liam]
And as I walk up to your door
My head turns to face the floor
'Cause I can't look you in the eyes and say

[Chorus: Harry & Niall, Harry]
When he opens his arms and holds you close tonight
It just won't feel right
'Cause I can love you more than this, yeah
When he lays you down, I might just die inside
It just don't feel right
'Cause I can love you more than this
Can love you more than this

[Verse 2: Niall, Niall & Liam]
If I'm louder, would you see me?
Would you lay down in my arms and rescue me?
'Cause we are the same, you save me
But when you leave, it's gone again

[Pre-Chorus: Louis]
And then I see you on the street
In his arms, I get weak
My body fails, I'm on my knees, praying

[Chorus: All, Harry]
When he opens his arms and holds you close tonight
It just won't feel right
'Cause I can love you more than this, yeah
When he lays you down, I might just die inside
It just don't feel right
'Cause I can love you more than this

[Bridge: Zayn, Zayn & Liam, All, Liam]
Yeah
I've never had the words to say
But now I'm asking you to stay
For a little while inside my arms (Ooh)
And as you close your eyes tonight (Ooh)
I pray that you will see the light (Ooh)
That's shining from the stars above
And I say

[Breakdown: Liam, Zayn]
When he opens his arms and holds you close tonight
It just won't feel right
'Cause I can love you more than this, yeah
('Cause I can love you more than this, yeah)

[Chorus: All, Harry, Zayn, Liam]
When he lays you down, I might just die inside
It just don't feel right
'Cause I can love you more than this, yeah
When he opens his arms and holds you close tonight (Holds you close tonight)
It just won't feel right
'Cause I can love you more than this (Yeah), yeah
When he lays you down, I might just die inside (I'm broken)
It just don't feel right
'Cause I can love you more than this
Can love you more than this"
54,"""Na Na Na""",One Direction,"Iain James, Savan Kotecha, James Murray, Matt Squire, Mustapha Omer",Up All Night,2011,"[Verse 1: Liam, Zayn, Liam & Harry]
We've got a bit of love-hate
You take me to the edge, then you hit the brakes
I, I say it's over one day
But then I'm crawling back, begging you to stay
We make up and we breakup all the time (Ayy)
I'll say that I hate a song
Then you'll go request it the whole night long
S-some people say it's so wrong
But even when we fight, girl, you turn me on
We make up and we breakup all the time

[Chorus: Harry, All, Zayn]
We're like, ""Na-na-na""
Then we're like, ""Yeah, yeah, yeah""
Always like, ""Na-na-na""
Then we're like, ""Yeah, yeah, yeah""
No, we can't make up our minds
'Cause when we think we've got it right
We go, ""Na-na-na"" (Na-na-na)
Na-na-na (Na-na-na)

[Verse 2: Liam & Niall, Liam & Harry]
You wanna party till late
But when I do the same, all you do is complain
Y-you know that it drives me insane
But when I get with you, girl, you make it okay
We make up and we break up all the time

[Chorus: Harry, All, Zayn]
We're like, ""Na-na-na""
Then we're like, ""Yeah, yeah, yeah""
Always like, ""Na-na-na""
Then we're like, ""Yeah, yeah, yeah""
No, we can't make up our minds
'Cause when we think we've got it right
We go, ""Na-na-na"" (Na-na-na)
Na-na-na (Na-na-na)

[Bridge: All, Zayn]
Na, na, na (Ah)
Yeah, yeah, yeah (Ah)
Na, na, na (Ah)
Yeah, yeah, yeah (Ah)
Oh, woah
It drives me mad, oh

[Builtup: All]
Na-na-na, na-na-na
Na-na-na, na-na-na

[Chorus: All, Zayn]
We're like, ""Na-na-na"" (Na-na-na)
Then we're like, ""Yeah, yeah, yeah"" (Yeah, yeah)
Always like, ""Na-na-na"" (Na-na-na)
Then we're like, ""Yeah, yeah, yeah"" (Yeah, yeah)
We're like, ""Na-na-na"" (Na-na-na)
Then we're like, ""Yeah, yeah, yeah"" (Yeah, yeah)
Always like, ""Na-na-na"" (Na-na-na)
Then we're like, ""Yeah, yeah, yeah"" (Oh, woah)
No, we can't make up our minds (Our minds)
'Cause when we think we've got it right (Right)
We go, ""Na-na-na"""
55,"""Never Enough""",One Direction,"Niall Horan, John Ryan, Julian Bunetta, Jamie Scott",Made in the A.M.,2015,"[Verse: Liam]
Wanna pull an all-nighter and get into something we'll never forget
Wanna stay up and party the weekend away and not know when to quit
Wanna drive in the night to the end of the earth and go over the edge
Wanna wake up with you and say, ""Baby, let's do it all over again""

[Pre-Chorus: Niall]
Lips so good I forget my name
I swear I could give you everything

[Chorus: Harry, All]
I don't need my love, you can take it
You can take it and take it
I don't need my heart, you can break it
You can break it and break it
I just can't get too much of you, baby
It's never, it's never enough
Never enough
It's never enough
Never enough

[Post-Chorus: Liam]
Come on
Come on

[Verse: Niall]
Wanna pull an all-nighter and get into something we'll never forget
Wanna stay up and party the weekend away and not know when to quit
Wanna drive in the night to the end of the earth and go over the edge
Wanna wake up with you and say, ""Baby, let's do it all over again""

[Pre-Chorus: Louis]
Lips so good I forget my name
I swear I could give you everything

[Chorus: Harry, All]
I don't need my love, you can take it
You can take it and take it
I don't need my heart, you can break it
You can break it and break it
I just can't get too much of you, baby
It's never, it's never enough
Never enough
It's never enough
Never enough

[Post-Chorus: Liam]
Come on
Come on
Come on
Come on

[Bridge: Liam]
Too much is never enough, too much is never enough
Too much is never enough, too much
Too much is never enough, too much is never enough
Too much is never enough, too much is never enough
It's never enough, it's never, it's never, it's never

[Chorus: Harry, Liam, All, Niall]
I don't need my love, you can take it (You can take it)
You can take it and take it
I don't need my heart, you can break it (You can break it)
You can break it and break it
I just can't get too much of you, baby
It's never, it's never enough
Never enough (It's never enough)
I don't need my love, you can take it (Take it)
You can take it and take it
I don't need my heart, you can break it (So don't go breaking my heart)
You can break it and break it
I just can't get too much of you, baby
It's never, it's never enough (It's never, it's never, it's never, it's never, it's never, it's never, it's never enough)
Never enough
It's never enough
Never enough

[Post-Chorus: Liam]
Come on
Come on (Come on, come on)
Come on (Yeah, yeah, yeah, yeah)
Come on (Yeah, babe)"
56,"""Night Changes""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan, Niall Horan, Zayn Malik, Harry Styles, Liam Payne, Louis Tomlinson",Four,2014,"[Verse 1: Zayn & Liam]
Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Everything she never had, she's showin' off
Drivin' too fast, moon is breakin' through her hair
She's headin' for somethin' that she won't forget
Havin' no regrets is all that she really wants

[Chorus: All & Harry]
(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change me and you

[Verse 2: Louis & Niall]
Chasin' her tonight, doubts are runnin' round her head
He's waitin', hides behind a cigarette
Heart is beatin' loud and she doesn't want it to stop
Movin' too fast, moon is lightin' up her skin
She's fallin', doesn't even know it yet
Havin' no regrets is all that she really wants

[Chorus: All & Harry]
(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change me and you

[Post-Chorus: Liam]
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh

[Bridge: Zayn]
Goin' out tonight, changes into somethin' red
Her mother doesn't like that kind of dress
Reminds her of the missin' piece of innocence she lost

[Chorus: All & Harry]
(Ooh) We're only gettin' older, baby
(Ooh) And I've been thinkin' about it lately
(Ooh) Does it ever drive you crazy
(Ah-ah-ah) Just how fast the night changes?
(Ooh) Everything that you've ever dreamed of
(Ooh) Disappearin' when you wake up
(Ooh) But there's nothin' to be afraid of
(Ah-ah-ah) Even when the night changes
(Ooh) It will never change, baby
(Ooh) It will never change, baby
(Ooh) It will never change me and you"
57,"""No Control""",One Direction,"Liam Payne, Louis Tomlinson, Ruth-Anne Cunningham, Jamie Scott, Julian Bunetta, John Ryan",Four,2014,"[Intro: Louis, All]
Oh
(Oh, oh)

[Verse 1: Niall, Harry, All]
Stained coffee cup
Just a fingerprint of lipstick's not enough
Sweet (Oh), where you lay (Oh)
Still a trace of innocence on the pillow case

[Chorus: Louis]
Waking up beside you, I'm a loaded gun
I can't contain this anymore
I'm all yours, I've got no control, no control
Powerless, and I don't care it's obvious
I just can't get enough of you
The pedal's down, my eyes are closed, no control

[Post-Chorus: All, Louis]
(Oh)
Oh
(Oh)

[Verse 2: Liam, Harry, All]
Taste on my tongue
I don't want to wash away the night before
In the heat (Oh), where you lay (Oh)
I could stay right here and burn in it all day

[Chorus: Louis]
Waking up beside you, I'm a loaded gun
I can't contain this anymore
I'm all yours, I've got no control, no control
Powerless, and I don't care it's obvious
I just can't get enough of you
The pedal's down, my eyes are closed, no control

[Bridge: Zayn]
Lost my senses, I'm defenseless
Her perfume's holding me ransom
Sweet and sour, heart devoured
Lying here, I count the hours

[Chorus: Louis]
Waking up, beside you I'm a loaded gun
I can't contain this anymore
I'm all yours, I've got no control, no control
Powerless, and I don't care it's obvious
I just can't get enough of you
The pedal's down, my eyes are closed, no control

[Outro: Louis]
Oh
No control
Oh
No control
Powerless, and I don't care it's obvious
I just can't get enough of you
The pedal's down, my eyes are closed, no control"
58,"""Nobody Compares""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha, Shellback",Take Me Home,2012,"[Verse 1: Niall, Zayn]
You're so pretty when you cry, when you cry
Wasn't ready to hear you say goodbye
Now you're tearing me apart, tearing me apart
You're tearing me apart
You're so London your own style, your own style
And together we're so good, so, girl, why
Are you tearing me apart, tearing me apart?
You're tearing me apart

[Pre-Chorus: Harry]
Did I do something stupid? Yeah, girl, if I blew it
Just tell me what I did, let's work through it
There's gotta be some way
To get you to want me like before

[Chorus: Harry, All]
'Cause no one ever looks so good in a dress
And it hurts 'cause I know you won't be mine tonight
No one ever makes me feel like you do when you smile
Baby, tell me how to make it right
Now, all of my friends say, it's not really worth it
But even if that's true
No one in the world could stop me from not moving on
Baby, even if I wanted to
Nobody compares to you

[Verse 2: Louis]
We're so Paris when we kiss, when we kiss
I remember the taste of your lipstick
Now you're tearing up my heart, tearing up my heart
You're tearing up my heart

[Pre-Chorus: Harry]
Did I do something stupid? Yeah, girl, if I blew it
Just tell me what I did, let's work through it
There's gotta be some way
To get you to want me like before

[Chorus: Harry, All]
'Cause no one ever looks so good in a dress
And it hurts 'cause I know you won't be mine tonight
No one ever makes me feel like you do when you smile
Baby, tell me how to make it right
Now, all of my friends say, it's not really worth it
But even if that's true
No one in the world could stop me from not moving on
Baby, even if I wanted to
Nobody compares to you

[Post-Chorus: All, Harry]
Oh-oh-oh, oh-oh-oh, oh-oh-oh
Nobody compares to you
Oh-oh-oh, oh-oh-oh, oh-oh-oh

[Bridge: Niall]
There's gotta be some way
To get you to want me like before

[Chorus: Harry, All]
'Cause no one ever looks so good in a dress
And it hurts 'cause I know you won't be mine tonight (Mine tonight)
No one ever makes me feel like you do when you smile
Baby, tell me how to make it right
Now, all of my friends say, it's not really worth it
But even if that's true
No one in the world could stop me from not moving on
Baby, even if I wanted to
Nobody compares to you"
59,"""Olivia""",One Direction,"Harry Styles, John Ryan, Julian Bunetta",Made in the A.M.,2015,"[Spoken Intro]
Forty-three
And then?
And then you've gotta play the opposite part which means you, you rest for four bars
Right, so we stop there?
Right

[Verse 1: Niall]
Remember the day we were giving up
When you told me I didn't give you enough
And all of your friends were saying I'd be leaving ya?
She's lyin' in bed with my t-shirt on
Just thinking how I went about it wrong
This isn't the stain of a red wine, I'm bleeding love

[Pre-Chorus: Niall]
Please, believe me, don't you see the things you mean to me?
Oh, I love you, I love you, I love, I love, I love Olivia

[Chorus: Harry]
I live for you, I long for you, Olivia (Ayy, ayy)
I've been idolizing the light in your eyes, Olivia (Ayy, ayy)
I live for you, I long for you, Olivia
Don't let me go, don't let me go

[Verse 2: Liam]
Say what you're feelin' and say it now
'Cause I got the feelin' you're walkin' out
And time is irrelevant when I've not been seeing ya
The consequences of falling out
Are something I'm having nightmares about
And these are the reasons I'm cryin' out to be with ya

[Pre-Chorus: Liam]
Please, believe me, don't you see the things you mean to me?
Oh, I love you, I love you, I love, I love, I love Olivia

[Chorus: All, Harry]
I live for you, I long for you, Olivia (Ayy, ayy)
I've been idolizing the light in your eyes, Olivia (Ayy, ayy)
I live for you, I long for you, Olivia
Don't let me go, (Don't) don't let me go (Go)

[Bridge: Harry]
When you go and I'm alone
You live in my imagination
The summertime and butterflies
All belong to your creation
I love you, it's all I do, I love you

[Chorus: Louis, Harry, All]
I live for you, I long for you, Olivia (Ayy, ayy)
I've been idolizing the light in your eyes, Olivia (Ayy, ayy)
I live for you, I long for you, Olivia
Don't let me go (Don't), don't let me go (Go)
Don't let me go, Olivia

[Outro: Harry]
No way
Thank you"
60,"""Once in a Lifetime""",One Direction,"Jamie Scott, Julian Bunetta, John Ryan",Four,2014,"[Verse 1: Liam]
Once in a lifetime, it's just right
We make no mistakes
Not even a landslide or riptide
Could take it all away

[Pre-Chorus: Harry]
Somehow, it feels like nothing has changed
Right now, my heart is beating the same
Out loud, someone's calling my name
It sounds like you

[Chorus: All]
When I close my eyes
All the stars align
And you are by my side
You are by my side

[Verse 2: Louis, Niall]
Once in a lifetime, it's just right
And we are always safe
Not even the bad guys in the dark night
Could take it all away

[Pre-Chorus: All, Louis, Niall]
(Ooh) Somehow, it feels like nothing has changed
Right now, my heart is beating the same
(Ooh) Out loud, someone's calling my name
And it sounds like you

[Chorus: All]
When I close my eyes
All the stars align
And you are by my side
You are by my side

[Bridge: Zayn, All]
You are by my side
You are by my side
You are by my side

[Outro: Liam]
Once in a lifetime, you were mine"
61,"""One Thing""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha",Up All Night,2011,"[Verse 1: Liam, Harry]
I've tried playin' it cool
But when I'm lookin' at you
I can't ever be brave
'Cause you make my heart race
Shot me out of the sky
You're my kryptonite
You keep makin' me weak
Yeah, frozen and can't breathe

[Pre-Chorus: Zayn & Liam, Zayn]
Something's gotta give now
'Cause I'm dyin' just to make you see
That I need you here with me now
'Cause you've got that one thing

[Chorus: All]
So get out, get out, get out of my head
And fall into my arms instead
I don't, I don't, don't know what it is
But I need that one thing
And you've got that one thing

[Verse 2: Niall & Zayn, Niall]
Now I'm climbing the walls
But you don't notice at all
That I'm goin' out of my mind
All day and all night

[Pre-Chorus: Louis & Zayn]
Something's gotta give now
'Cause I'm dyin' just to know your name
And I need you here with me now
'Cause you've got that one thing

[Chorus: All]
So get out, get out, get out of my head
And fall into my arms instead
I don't, I don't, don't know what it is
But I need that one thing
So get out, get out, get out of my mind
And come on, come into my life
I don't, I don't, don't know what it is
But I need that one thing
And you've got that one thing

[Post-Chorus: All, Harry]
(Woah, woah, woah)
You've got that one thing

[Bridge: Liam]
Get out, get out, get out of my head
And fall into my arms instead

[Chorus: All, Zayn, Harry]
So get out, get out, get out of my head (Get out, get out, get out of my head, yeah)
And fall into my arms instead (Instead)
I don't, I don't, don't know what it is
But I need that one thing (I need that one thing)
So get out, get out, get out of my mind (Out of my mind)
And come on, come into my life
I don't, I don't, don't know what it is
But I need that one thing
And you've got that one thing"
62,"""One Way or Another (Teenage Kicks)""",One Direction,"Debbie Harry, Nigel Harrison, John O'Neill",__,2013,"Harry:
One way or another, I’m gonna find ya
I’m gonna getcha, getcha, getcha, getcha
One way or another, I’m gonna win ya
I’m gonna getcha, getcha, getcha, getcha

Zayn:
One way or another, I’m gonna see ya
I’m gonna meet ya, meet ya, meet ya, meet ya
One day, maybe next week
I’m gonna meet ya, I’m gonna meet ya, I’ll meet ya

Niall:
I will drive past your house
And if the lights are all down
I’ll see who’s around

Liam:
Let's go!
One way or another, I’m gonna find ya
I’m gonna getcha, getcha, getcha, getcha
One way or another, I’m gonna win ya
I’ll getcha, I’ll getcha

Louis:
One way or another, I’m gonna see ya
I’m gonna meet ya, meet ya, meet ya, meet ya
One day, maybe next week
I’m gonna meet ya, I’ll meet ya, I'll meet ya
Zayn:
And if the lights are all out
I’ll follow your bus downtown
See who’s hanging out

Harry:
1-2-3-4!
'All:
Na na, na na, na na, na na na
Na na, na na, na na, na na na

Louis:
I wanna hold you, wanna hold you tight
I wanna hold you, wanna hold you tight
I wanna hold you, wanna hold you tight
Get teenage kicks right through the night

Harry:
Come on!
I wanna hold you, wanna hold you tight
I wanna hold you, wanna hold you tight
I wanna hold you, wanna hold you tight
Get teenage kicks right through the night

One way or another, I’m gonna see ya
I gonna meet ya, meet ya, meet ya, meet ya
One day or another, I’m gonna win ya
I'm gonna getcha, getcha, getcha, getcha

Liam:
One way or another, I’m gonna see ya
I gonna meet ya, meet ya, meet ya, meet ya
One day or another, I’m gonna win ya
I'm gonna getcha, getcha, getcha, getcha

Harry:
One way or another, I’m gonna see ya
I gonna meet ya, meet ya, meet ya, meet ya
One way or another, I’m gonna win ya
I'm gonna getcha, getcha, getcha, getcha
One way or another"
63,"""Over Again""",One Direction,"Ed Sheeran, Robert Conlon, Alexander Gowers",Take Me Home,2012,"[Verse 1: Liam, Niall, Both]
Said I'd never leave her, 'cause her hands fit like my T-shirt
Tongue tied over three words, cursed
Running over thoughts that make my feet hurt
Bodies intertwined with her lips
Now she's feeling so low since she went solo
Hole in the middle of my heart like a Polo
And it's no joke to me
So can we do it all over again?

[Chorus: All]
If you're pretending from the start
Like this, with a tight grip
Then my kiss can mend your broken heart
I might miss everything you said to me
And I could lend you broken parts
That might fit like this
And I will give you all my heart
So we can start it all over again

[Verse 2: Harry, Louis]
Can we take the same road? Two days in the same clothes?
And I know just what she'll say if I can make all this pain go
Can we stop this for a minute?
You know, I can tell that your heart isn't in it or with it
And tell me with your mind, body and spirit
I can make your tears fall down like the showers that are British
Whether we're together or apart, we can both remove the masks
And admit we regret it from the start


[Chorus: All]
If you're pretending from the start
Like this, with a tight grip
Then my kiss can mend your broken heart
I might miss everything you said to me
And I could lend you broken parts
That might fit like this
And I will give you all my heart
So we can start it all over again

[Bridge: Zayn]
You'll never know how to make it on your own
And you'll never show weakness for letting go
I guess it's still hard if the seed's sown
But do you really want to be alone?

[Breakdown: Liam]
If you're pretending from the start
Like this, with a tight grip
Then my kiss can mend your broken heart
I might miss everything you said to me

[Chorus: All, Zayn, Harry]
And I could lend you broken parts
That might fit like this
And I will give you all my heart (All my heart)
So we can start it all o—
If you're pretending from the start (The start)
Like this, with a tight grip (Yeah)
Then my kiss can mend your broken heart (Can mend your broken heart, yeah)
I might miss everything you said to me
And I could lend you broken parts
That might fit like this
And I will give you all my heart
So we can start it all over again"
64,"""Perfect""",One Direction,"Harry Styles, Louis Tomlinson, Julian Bunetta, Jesse Shatkin, Jacob Kasher, John Ryan, Maureen Anne McDonald",Made in the A.M.,2015,"[Verse 1: Louis]
I might never be your knight in shinin' armour
I might never be the one you take home to mother
And I might never be the one who brings you flowers
But I can be the one, be the one tonight

[Pre-Chorus: Liam]
When I first saw you from across the room
I could tell that you were curious, oh, yeah
Girl, I hope you're sure what you're looking for
'Cause I'm not good at making promises

[Chorus: Harry, All]
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like goin' places we can't even pronounce
If you like to do whatever you've been dreamin' about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now

[Verse 2: Niall]
I might never be the hands you put your heart in
Or the arms that hold you any time you want them
But that don't mean that we can't live here in the moment
'Cause I can be the one you love from time to time

[Pre-Chorus: Liam]
When I first saw you from across the room
I could tell that you were curious, oh, yeah
Girl, I hope you're sure what you're looking for
'Cause I'm not good at making promises

[Chorus: Harry, All]
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like goin' places we can't even pronounce
If you like to do whatever you've been dreamin' about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now

[Bridge: Harry]
And if you like cameras flashin' every time we go out
Oh, yeah
And if you're looking for someone to write your breakup songs about
Then baby, I'm perfect
And baby, we're perfect



[Chorus: Harry, All]
If you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like goin' places we can't even pronounce
If you like to do whatever you've been dreamin' about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now"
65,"""Ready to Run""",One Direction,"Louis Tomlinson, Liam Payne, Jamie Scott, Julian Bunetta, John Ryan",Four,2014,"[Intro: All]
Ooh-ooh-ooh
Ooh-ooh-ooh

[Verse 1: Harry, Liam]
There's a lightnin' in your eyes, I can't deny
Then there's me inside a sinking boat, runnin' out of time
Without you, I'll never make it out alive
But I know, yes, I know we'll be alright
There's a devil in your smile, it's chasing me
And every time I turn around, it's only gaining speed
There's a moment when you finally realise
There's no way you can change the rolling tide
But I know, yes, I know that I'll be fine

[Chorus: All]
This time, I'm ready to run (Oh-oh)
Escape from the city and follow the Sun
'Cause I wanna be yours, don't you wanna be mine?
I don't wanna get lost in the dark of the night
This time I'm ready to run (Oh-oh)
Wherever you are is the place I belong
'Cause I wanna be free and I wanna be young
I will never look back, now I'm ready to run

[Post-Chorus: All, Harry]
Ooh-ooh-ooh
I'm ready to run
Ooh-ooh-ooh

[Verse 2: Niall, Louis]
There's a future in my life I can't foresee
Unless, of course, I stay on course and keep you next to me
There will always be the kind that criticize
But I know, yes, I know we'll be alright

[Chorus: All]
This time, I'm ready to run (Oh-oh)
Escape from the city and follow the Sun
'Cause I wanna be yours, don't you wanna be mine?
I don't wanna get lost in the dark of the night
This time I'm ready to run (Oh-oh)
Wherever you are is the place I belong
'Cause I wanna be free and I wanna be young
I will never look back, now I'm ready to run

[Bridge: Zayn, All]
This time, I'm ready to run (Ready to run)
I'd give everything that I've got for your love

[Chorus: Harry, All, Zayn]
This time, I'm ready to run
Escape from the city and follow the Sun
'Cause I wanna be yours, don't you wanna be mine?
I don't wanna get lost in the dark of the night
This time I'm ready to run (This time I'm ready to run; Oh-oh)
Wherever you are is the place I belong
'Cause I wanna be free and I wanna be young
I will never look back, now I'm ready to run"
